"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"Test creation of a test plan with logger exception.","1","test_create_test_plan_exception","src.tests.ado.test_plan","Wed Mar 19 09:43:29 GMT 2025","passed","Wed Mar 19 09:43:29 GMT 2025","TestPlanApiWrapperExceptions","test_unit_ado_test_plan","",""
"","2","test_run_tool[create_branch-create_branch]","src.tests.ado.repos","Wed Mar 19 09:43:28 GMT 2025","passed","Wed Mar 19 09:43:28 GMT 2025","TestReposApiWrapperValidateToolkit","test_unit_ado_repos","",""
"","2","test_create_pr_success","src.tests.ado.repos","Wed Mar 19 09:43:28 GMT 2025","passed","Wed Mar 19 09:43:28 GMT 2025","TestReposToolsPositive","test_unit_ado_repos","",""
"Test create test suite with invalid json.","1","test_create_test_suite_invalid_json","src.tests.ado.test_plan","Wed Mar 19 09:43:29 GMT 2025","passed","Wed Mar 19 09:43:29 GMT 2025","TestPlanApiWrapperNegative","test_unit_ado_test_plan","",""
"","1","test_run_tool[get_work_items-get_work_items]","src.tests.ado.repos","Wed Mar 19 09:43:28 GMT 2025","passed","Wed Mar 19 09:43:28 GMT 2025","TestReposApiWrapperValidateToolkit","test_unit_ado_repos","",""
"","3","test_parse_pull_requests_exception","src.tests.ado.repos","Wed Mar 19 09:43:29 GMT 2025","passed","Wed Mar 19 09:43:29 GMT 2025","TestReposToolsExceptions","test_unit_ado_repos","",""
"","1","test_create_pr_same_source_and_target_branch","src.tests.ado.repos","Wed Mar 19 09:43:29 GMT 2025","passed","Wed Mar 19 09:43:29 GMT 2025","TestReposToolsNegative","test_unit_ado_repos","",""
"","2","test_get_file_content_success","src.tests.ado.repos","Wed Mar 19 09:43:28 GMT 2025","passed","Wed Mar 19 09:43:28 GMT 2025","TestReposToolsPositive","test_unit_ado_repos","",""
"Test logger called when retrieval of test cases fails.","2","test_get_test_cases_logs_error","src.tests.ado.test_plan","Wed Mar 19 09:43:30 GMT 2025","passed","Wed Mar 19 09:43:30 GMT 2025","TestPlanApiWrapperExceptions","test_unit_ado_test_plan","",""
"","2","test_list_branches_in_repo_exception","src.tests.ado.repos","Wed Mar 19 09:43:29 GMT 2025","passed","Wed Mar 19 09:43:29 GMT 2025","TestReposToolsExceptions","test_unit_ado_repos","",""
"","4","test_update_file_success_check_push_arguments","src.tests.ado.repos","Wed Mar 19 09:43:28 GMT 2025","passed","Wed Mar 19 09:43:28 GMT 2025","TestReposToolsPositive","test_unit_ado_repos","",""
"","2","test_list_branches_in_repo_no_branches","src.tests.ado.repos","Wed Mar 19 09:43:28 GMT 2025","passed","Wed Mar 19 09:43:28 GMT 2025","TestReposToolsNegative","test_unit_ado_repos","",""
"","1","test_run_tool[create_file-create_file]","src.tests.ado.repos","Wed Mar 19 09:43:28 GMT 2025","passed","Wed Mar 19 09:43:28 GMT 2025","TestReposApiWrapperValidateToolkit","test_unit_ado_repos","",""
"","2","test_set_active_branch_success","src.tests.ado.repos","Wed Mar 19 09:43:28 GMT 2025","passed","Wed Mar 19 09:43:28 GMT 2025","TestReposToolsPositive","test_unit_ado_repos","",""
"Test get test plan exception.","2","test_get_test_plan_exception","src.tests.ado.test_plan","Wed Mar 19 09:43:29 GMT 2025","passed","Wed Mar 19 09:43:29 GMT 2025","TestPlanApiWrapperExceptions","test_unit_ado_test_plan","",""
"","1","test_run_tool[add_test_case-add_test_case]","src.tests.ado.test_plan","Wed Mar 19 09:43:29 GMT 2025","passed","Wed Mar 19 09:43:29 GMT 2025","TestPlanApiWrapperValidateToolkit","test_unit_ado_test_plan","",""
"","2","test_run_tool[create_pull_request-create_pr]","src.tests.ado.repos","Wed Mar 19 09:43:28 GMT 2025","passed","Wed Mar 19 09:43:28 GMT 2025","TestReposApiWrapperValidateToolkit","test_unit_ado_repos","",""
"Test successful retrieval of a test case by ID.","1","test_get_test_case_success","src.tests.ado.test_plan","Wed Mar 19 09:43:29 GMT 2025","passed","Wed Mar 19 09:43:29 GMT 2025","TestPlanApiWrapperPositive","test_unit_ado_test_plan","",""
